Sequence_identifier,_NormalizedVDWVC2,_PolarizabilityC2,_PolarizabilityC3,_ChargeC1,_PolarizabilityC1,_SecondaryStrC2,_SecondaryStrC3,_NormalizedVDWVC3,_SecondaryStrC1,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_NormalizedVDWVC1,_HydrophobicityC3,_HydrophobicityC1,_ChargeC3,_PolarityC2,_PolarityC1,_HydrophobicityC2,_PolarityC3,_ChargeC2
4024,0.449,0.466,0.276,0.131,0.258,0.283,0.254,0.276,0.463,0.413,0.364,0.223,0.272,0.357,0.364,0.127,0.187,0.392,0.279,0.163,0.742
4025,0.487,0.513,0.244,0.103,0.244,0.192,0.224,0.244,0.583,0.429,0.397,0.173,0.256,0.346,0.397,0.218,0.224,0.385,0.256,0.147,0.679
4026,0.447,0.478,0.248,0.124,0.273,0.205,0.236,0.248,0.559,0.435,0.41,0.155,0.298,0.298,0.41,0.211,0.236,0.342,0.292,0.149,0.665
4027,0.39,0.484,0.226,0.082,0.289,0.296,0.289,0.226,0.415,0.497,0.296,0.208,0.346,0.352,0.296,0.101,0.22,0.396,0.352,0.094,0.818
4028,0.356,0.407,0.248,0.103,0.345,0.285,0.308,0.248,0.407,0.516,0.265,0.219,0.382,0.362,0.265,0.108,0.14,0.382,0.373,0.134,0.789
4029,0.341,0.412,0.247,0.108,0.341,0.295,0.293,0.247,0.412,0.528,0.261,0.21,0.401,0.349,0.261,0.116,0.156,0.366,0.389,0.136,0.776
4030,0.382,0.437,0.242,0.106,0.321,0.287,0.273,0.242,0.44,0.471,0.304,0.225,0.369,0.317,0.304,0.126,0.201,0.362,0.379,0.116,0.768
4031,0.419,0.463,0.226,0.101,0.311,0.28,0.277,0.226,0.443,0.459,0.304,0.236,0.351,0.328,0.304,0.135,0.196,0.378,0.368,0.115,0.764
4032,0.394,0.431,0.255,0.127,0.314,0.32,0.297,0.255,0.382,0.45,0.317,0.232,0.348,0.337,0.317,0.127,0.167,0.365,0.346,0.153,0.745
4033,0.377,0.425,0.267,0.123,0.308,0.295,0.291,0.267,0.414,0.459,0.315,0.226,0.353,0.329,0.315,0.147,0.171,0.387,0.356,0.134,0.729
4034,0.396,0.482,0.176,0.071,0.342,0.247,0.423,0.176,0.33,0.342,0.378,0.28,0.429,0.211,0.378,0.116,0.324,0.232,0.411,0.101,0.813
4035,0.332,0.378,0.256,0.071,0.366,0.31,0.325,0.256,0.366,0.414,0.304,0.282,0.412,0.264,0.304,0.138,0.206,0.322,0.432,0.107,0.791
4036,0.349,0.407,0.244,0.114,0.349,0.265,0.275,0.244,0.46,0.435,0.309,0.256,0.401,0.306,0.309,0.114,0.185,0.336,0.386,0.13,0.772
4037,0.274,0.429,0.31,0.143,0.262,0.369,0.274,0.31,0.357,0.548,0.238,0.214,0.298,0.417,0.238,0.071,0.107,0.476,0.345,0.155,0.786
4038,0.385,0.419,0.307,0.173,0.274,0.285,0.257,0.307,0.458,0.425,0.397,0.179,0.291,0.33,0.397,0.156,0.162,0.38,0.274,0.184,0.67
4039,0.411,0.442,0.232,0.084,0.326,0.289,0.274,0.232,0.437,0.421,0.316,0.263,0.358,0.311,0.316,0.153,0.2,0.358,0.374,0.116,0.763
4040,0.389,0.437,0.247,0.127,0.316,0.326,0.272,0.247,0.402,0.44,0.332,0.228,0.351,0.316,0.332,0.114,0.193,0.358,0.351,0.133,0.759
4041,0.307,0.373,0.255,0.1,0.372,0.325,0.337,0.255,0.338,0.416,0.325,0.26,0.424,0.269,0.325,0.123,0.197,0.319,0.406,0.112,0.777
4042,0.36,0.423,0.264,0.094,0.313,0.255,0.311,0.264,0.434,0.432,0.318,0.251,0.353,0.315,0.318,0.123,0.199,0.36,0.367,0.128,0.783
4043,0.414,0.467,0.284,0.142,0.249,0.308,0.266,0.284,0.426,0.42,0.379,0.201,0.278,0.325,0.379,0.112,0.201,0.379,0.296,0.172,0.746
4044,0.364,0.423,0.23,0.099,0.347,0.274,0.332,0.23,0.394,0.469,0.324,0.207,0.388,0.344,0.324,0.149,0.169,0.367,0.332,0.117,0.752
4045,0.375,0.425,0.317,0.166,0.258,0.28,0.224,0.317,0.496,0.407,0.37,0.222,0.307,0.289,0.37,0.163,0.218,0.333,0.341,0.191,0.671
4046,0.272,0.37,0.211,0.064,0.419,0.264,0.313,0.211,0.423,0.494,0.215,0.291,0.509,0.275,0.215,0.102,0.174,0.309,0.509,0.098,0.834
4047,0.309,0.382,0.178,0.077,0.44,0.317,0.313,0.178,0.371,0.521,0.228,0.251,0.486,0.278,0.228,0.062,0.162,0.313,0.494,0.085,0.861
4048,0.401,0.43,0.277,0.131,0.293,0.266,0.261,0.277,0.473,0.421,0.349,0.23,0.322,0.327,0.349,0.124,0.189,0.358,0.324,0.16,0.745
4049,0.365,0.413,0.27,0.109,0.317,0.3,0.283,0.27,0.416,0.451,0.324,0.225,0.348,0.307,0.324,0.147,0.177,0.362,0.369,0.143,0.744
4050,0.322,0.405,0.285,0.099,0.311,0.346,0.273,0.285,0.381,0.391,0.289,0.32,0.369,0.296,0.289,0.115,0.195,0.36,0.414,0.134,0.786
4051,0.304,0.374,0.232,0.104,0.394,0.284,0.32,0.232,0.396,0.478,0.276,0.246,0.458,0.278,0.276,0.13,0.158,0.318,0.446,0.13,0.766
4052,0.399,0.441,0.278,0.15,0.281,0.281,0.258,0.278,0.461,0.395,0.366,0.239,0.324,0.324,0.366,0.173,0.18,0.373,0.31,0.167,0.676
4053,0.367,0.442,0.292,0.09,0.266,0.326,0.288,0.292,0.386,0.431,0.307,0.262,0.333,0.318,0.307,0.105,0.24,0.378,0.375,0.116,0.805
4054,0.414,0.441,0.24,0.112,0.319,0.283,0.257,0.24,0.461,0.391,0.345,0.263,0.339,0.306,0.345,0.141,0.207,0.332,0.349,0.141,0.747
4055,0.305,0.338,0.201,0.097,0.461,0.182,0.247,0.201,0.571,0.545,0.286,0.169,0.481,0.234,0.286,0.097,0.162,0.266,0.481,0.11,0.805
4056,0.486,0.535,0.178,0.076,0.286,0.308,0.276,0.178,0.416,0.476,0.308,0.216,0.324,0.341,0.308,0.119,0.238,0.373,0.351,0.103,0.805
4057,0.293,0.329,0.189,0.094,0.482,0.324,0.317,0.189,0.359,0.425,0.279,0.297,0.514,0.228,0.279,0.11,0.151,0.263,0.493,0.105,0.796
4058,0.297,0.368,0.264,0.121,0.368,0.282,0.31,0.264,0.408,0.41,0.318,0.272,0.421,0.255,0.318,0.121,0.174,0.31,0.427,0.148,0.759
4059,0.383,0.423,0.229,0.099,0.347,0.278,0.276,0.229,0.446,0.467,0.307,0.225,0.381,0.314,0.307,0.126,0.177,0.343,0.379,0.133,0.775
4060,0.309,0.364,0.282,0.11,0.354,0.237,0.289,0.282,0.474,0.459,0.285,0.256,0.392,0.301,0.285,0.115,0.148,0.344,0.414,0.153,0.775
4061,0.422,0.456,0.283,0.118,0.262,0.283,0.215,0.283,0.502,0.439,0.384,0.177,0.278,0.35,0.384,0.148,0.203,0.38,0.266,0.156,0.734
4062,0.331,0.364,0.214,0.097,0.422,0.234,0.247,0.214,0.519,0.526,0.292,0.182,0.442,0.253,0.292,0.117,0.188,0.279,0.455,0.11,0.786
4063,0.378,0.435,0.28,0.115,0.285,0.305,0.291,0.28,0.403,0.403,0.354,0.242,0.331,0.303,0.354,0.127,0.219,0.36,0.343,0.135,0.758
4064,0.355,0.433,0.231,0.084,0.337,0.246,0.277,0.231,0.478,0.466,0.307,0.228,0.392,0.307,0.307,0.111,0.22,0.332,0.386,0.111,0.805
4065,0.358,0.436,0.229,0.084,0.335,0.244,0.277,0.229,0.479,0.464,0.308,0.228,0.391,0.307,0.308,0.112,0.222,0.332,0.385,0.111,0.804
4066,0.405,0.443,0.25,0.092,0.307,0.277,0.241,0.25,0.482,0.446,0.321,0.232,0.336,0.31,0.321,0.113,0.217,0.357,0.369,0.119,0.795
4067,0.437,0.473,0.235,0.085,0.292,0.322,0.284,0.235,0.393,0.44,0.336,0.224,0.322,0.336,0.336,0.139,0.21,0.383,0.328,0.115,0.776
4068,0.332,0.411,0.207,0.084,0.381,0.264,0.286,0.207,0.45,0.51,0.253,0.237,0.439,0.311,0.253,0.125,0.166,0.335,0.436,0.117,0.79
4069,0.426,0.468,0.228,0.096,0.304,0.269,0.256,0.228,0.474,0.468,0.324,0.208,0.327,0.34,0.324,0.138,0.199,0.365,0.337,0.131,0.766
4070,0.37,0.423,0.213,0.12,0.363,0.273,0.253,0.213,0.473,0.5,0.29,0.21,0.4,0.317,0.29,0.117,0.153,0.34,0.393,0.143,0.763
4071,0.363,0.392,0.228,0.08,0.38,0.295,0.278,0.228,0.426,0.489,0.266,0.245,0.405,0.338,0.266,0.139,0.156,0.371,0.397,0.093,0.781
4072,0.354,0.411,0.198,0.112,0.391,0.286,0.234,0.198,0.479,0.503,0.268,0.229,0.44,0.313,0.268,0.115,0.161,0.323,0.419,0.125,0.773
4073,0.458,0.552,0.135,0.083,0.313,0.281,0.26,0.135,0.458,0.469,0.281,0.25,0.365,0.385,0.281,0.104,0.208,0.396,0.333,0.083,0.813
4074,0.339,0.402,0.217,0.097,0.381,0.258,0.285,0.217,0.457,0.522,0.269,0.209,0.433,0.319,0.269,0.125,0.157,0.337,0.413,0.125,0.778
4075,0.351,0.379,0.303,0.126,0.318,0.331,0.269,0.303,0.4,0.41,0.338,0.251,0.344,0.29,0.338,0.133,0.172,0.362,0.372,0.149,0.741
4076,0.381,0.446,0.226,0.105,0.328,0.292,0.277,0.226,0.431,0.48,0.312,0.208,0.375,0.326,0.312,0.123,0.202,0.347,0.363,0.123,0.772
4077,0.358,0.42,0.214,0.104,0.366,0.223,0.29,0.214,0.487,0.49,0.301,0.208,0.423,0.299,0.301,0.135,0.186,0.327,0.4,0.121,0.761
4078,0.386,0.432,0.186,0.092,0.381,0.268,0.281,0.186,0.451,0.486,0.273,0.241,0.419,0.324,0.273,0.122,0.162,0.349,0.403,0.108,0.786
4079,0.4,0.434,0.251,0.149,0.315,0.353,0.238,0.251,0.409,0.443,0.357,0.2,0.328,0.336,0.357,0.149,0.153,0.379,0.306,0.153,0.702
4080,0.329,0.408,0.271,0.119,0.322,0.266,0.291,0.271,0.443,0.458,0.319,0.223,0.39,0.299,0.319,0.137,0.187,0.352,0.382,0.139,0.744
4081,0.405,0.458,0.269,0.106,0.273,0.307,0.223,0.269,0.47,0.428,0.326,0.246,0.318,0.348,0.326,0.17,0.223,0.379,0.326,0.125,0.723
4082,0.412,0.463,0.224,0.129,0.314,0.276,0.243,0.224,0.48,0.43,0.34,0.23,0.351,0.307,0.34,0.143,0.202,0.333,0.353,0.151,0.728
4083,0.355,0.392,0.323,0.134,0.285,0.333,0.263,0.323,0.403,0.473,0.306,0.22,0.323,0.339,0.306,0.134,0.177,0.387,0.355,0.151,0.731
4084,0.379,0.435,0.274,0.136,0.291,0.282,0.271,0.274,0.446,0.41,0.367,0.223,0.345,0.299,0.367,0.155,0.212,0.342,0.333,0.155,0.709
4085,0.374,0.414,0.305,0.121,0.281,0.272,0.274,0.305,0.453,0.421,0.323,0.256,0.316,0.33,0.323,0.149,0.191,0.374,0.347,0.153,0.73
4086,0.39,0.441,0.252,0.15,0.307,0.311,0.26,0.252,0.429,0.504,0.307,0.189,0.343,0.354,0.307,0.126,0.138,0.39,0.339,0.165,0.724
4087,0.426,0.443,0.187,0.043,0.37,0.287,0.239,0.187,0.474,0.53,0.265,0.204,0.387,0.343,0.265,0.126,0.178,0.37,0.391,0.083,0.83
4088,0.416,0.452,0.225,0.11,0.323,0.296,0.252,0.225,0.452,0.485,0.332,0.184,0.348,0.334,0.332,0.137,0.181,0.356,0.334,0.14,0.753
4089,0.405,0.444,0.181,0.082,0.375,0.289,0.254,0.181,0.457,0.547,0.272,0.181,0.397,0.341,0.272,0.116,0.159,0.358,0.388,0.108,0.802
4090,0.387,0.434,0.18,0.09,0.387,0.262,0.277,0.18,0.461,0.48,0.258,0.262,0.43,0.336,0.258,0.094,0.16,0.348,0.406,0.105,0.816
4091,0.47,0.512,0.235,0.084,0.253,0.367,0.265,0.235,0.367,0.452,0.355,0.193,0.271,0.38,0.355,0.199,0.205,0.41,0.265,0.133,0.717
4092,0.372,0.404,0.272,0.12,0.324,0.312,0.232,0.272,0.456,0.484,0.304,0.212,0.344,0.344,0.304,0.128,0.14,0.392,0.352,0.144,0.752
4093,0.409,0.477,0.172,0.079,0.351,0.254,0.269,0.172,0.477,0.484,0.28,0.237,0.401,0.323,0.28,0.104,0.197,0.348,0.398,0.104,0.817
4094,0.394,0.44,0.239,0.089,0.32,0.328,0.317,0.239,0.355,0.471,0.278,0.251,0.355,0.324,0.278,0.093,0.181,0.355,0.398,0.143,0.819
4095,0.314,0.398,0.244,0.091,0.358,0.281,0.311,0.244,0.407,0.454,0.258,0.288,0.431,0.316,0.258,0.11,0.171,0.354,0.426,0.117,0.799
4096,0.381,0.409,0.252,0.126,0.339,0.311,0.297,0.252,0.392,0.399,0.343,0.259,0.364,0.297,0.343,0.15,0.154,0.353,0.36,0.154,0.724
4097,0.366,0.405,0.249,0.081,0.345,0.309,0.27,0.249,0.42,0.447,0.291,0.261,0.384,0.306,0.291,0.12,0.186,0.357,0.402,0.111,0.799
4098,0.394,0.422,0.289,0.128,0.289,0.337,0.276,0.289,0.387,0.41,0.344,0.246,0.309,0.334,0.344,0.128,0.166,0.405,0.322,0.141,0.744
4099,0.428,0.469,0.199,0.098,0.332,0.288,0.249,0.199,0.463,0.476,0.321,0.203,0.369,0.325,0.321,0.138,0.197,0.349,0.354,0.122,0.764
4100,0.369,0.427,0.228,0.109,0.345,0.26,0.262,0.228,0.478,0.466,0.323,0.211,0.383,0.313,0.323,0.131,0.177,0.337,0.364,0.141,0.76
4101,0.417,0.5,0.22,0.113,0.28,0.31,0.226,0.22,0.464,0.452,0.327,0.22,0.315,0.321,0.327,0.125,0.226,0.351,0.351,0.143,0.762
4102,0.433,0.47,0.231,0.119,0.299,0.343,0.276,0.231,0.381,0.47,0.321,0.209,0.328,0.366,0.321,0.127,0.179,0.366,0.313,0.157,0.754
4103,0.368,0.422,0.264,0.109,0.314,0.308,0.275,0.264,0.416,0.439,0.294,0.267,0.355,0.348,0.294,0.107,0.177,0.383,0.358,0.126,0.784
4104,0.359,0.408,0.257,0.111,0.335,0.289,0.295,0.257,0.416,0.47,0.297,0.232,0.365,0.335,0.297,0.119,0.162,0.376,0.368,0.127,0.77
4105,0.407,0.43,0.275,0.129,0.295,0.325,0.245,0.275,0.43,0.44,0.358,0.202,0.311,0.341,0.358,0.152,0.182,0.384,0.301,0.139,0.719
4106,0.402,0.429,0.262,0.114,0.31,0.265,0.228,0.262,0.508,0.444,0.317,0.238,0.333,0.323,0.317,0.153,0.172,0.349,0.36,0.169,0.733
4107,0.375,0.42,0.207,0.069,0.373,0.301,0.327,0.207,0.372,0.41,0.323,0.267,0.418,0.275,0.323,0.162,0.226,0.315,0.402,0.086,0.769
4108,0.377,0.412,0.232,0.103,0.355,0.311,0.289,0.232,0.399,0.414,0.331,0.254,0.384,0.303,0.331,0.143,0.189,0.344,0.366,0.112,0.754
4109,0.341,0.394,0.245,0.116,0.361,0.27,0.28,0.245,0.449,0.465,0.318,0.217,0.414,0.283,0.318,0.126,0.194,0.321,0.399,0.124,0.758
4110,0.343,0.396,0.245,0.116,0.359,0.27,0.28,0.245,0.449,0.462,0.321,0.217,0.412,0.283,0.321,0.129,0.197,0.321,0.396,0.124,0.755
4111,0.343,0.399,0.242,0.116,0.359,0.273,0.29,0.242,0.437,0.47,0.318,0.212,0.414,0.293,0.318,0.119,0.194,0.326,0.389,0.121,0.765
4112,0.328,0.382,0.266,0.109,0.352,0.285,0.295,0.266,0.42,0.415,0.333,0.252,0.402,0.269,0.333,0.123,0.208,0.313,0.397,0.126,0.769
4113,0.335,0.424,0.19,0.083,0.386,0.252,0.287,0.19,0.461,0.523,0.244,0.233,0.466,0.319,0.244,0.123,0.188,0.332,0.437,0.094,0.794
4114,0.404,0.443,0.264,0.128,0.292,0.296,0.328,0.264,0.375,0.392,0.36,0.247,0.33,0.328,0.36,0.132,0.198,0.375,0.311,0.134,0.74
4115,0.34,0.401,0.288,0.1,0.311,0.325,0.289,0.288,0.386,0.384,0.319,0.297,0.358,0.287,0.319,0.139,0.204,0.347,0.393,0.138,0.762
4116,0.368,0.421,0.247,0.1,0.332,0.319,0.288,0.247,0.393,0.413,0.313,0.274,0.377,0.277,0.313,0.133,0.199,0.332,0.41,0.136,0.767
4117,0.399,0.445,0.221,0.107,0.334,0.319,0.288,0.221,0.393,0.472,0.291,0.236,0.374,0.356,0.291,0.129,0.16,0.39,0.353,0.117,0.764
4118,0.403,0.455,0.305,0.127,0.239,0.329,0.248,0.305,0.424,0.429,0.354,0.216,0.28,0.34,0.354,0.15,0.216,0.395,0.305,0.15,0.723
4119,0.406,0.458,0.305,0.127,0.236,0.331,0.251,0.305,0.418,0.424,0.357,0.219,0.277,0.34,0.357,0.15,0.219,0.395,0.303,0.15,0.723
4120,0.426,0.481,0.219,0.093,0.3,0.311,0.304,0.219,0.385,0.437,0.289,0.274,0.348,0.326,0.289,0.111,0.204,0.389,0.385,0.107,0.796
4121,0.437,0.452,0.278,0.118,0.27,0.338,0.251,0.278,0.411,0.392,0.399,0.209,0.274,0.327,0.399,0.156,0.213,0.373,0.274,0.144,0.726
4122,0.381,0.442,0.252,0.099,0.306,0.244,0.257,0.252,0.499,0.475,0.292,0.233,0.354,0.33,0.292,0.118,0.196,0.357,0.378,0.142,0.783
4123,0.411,0.457,0.26,0.126,0.283,0.306,0.26,0.26,0.434,0.457,0.336,0.208,0.317,0.342,0.336,0.142,0.192,0.381,0.322,0.144,0.733
4124,0.355,0.402,0.24,0.073,0.358,0.324,0.342,0.24,0.334,0.384,0.313,0.303,0.399,0.266,0.313,0.136,0.222,0.321,0.42,0.099,0.791
4125,0.391,0.452,0.221,0.076,0.327,0.264,0.33,0.221,0.406,0.388,0.345,0.267,0.379,0.261,0.345,0.161,0.248,0.312,0.394,0.112,0.764
4126,0.392,0.458,0.208,0.073,0.334,0.293,0.336,0.208,0.37,0.469,0.287,0.244,0.394,0.306,0.287,0.107,0.229,0.336,0.407,0.101,0.82
4127,0.323,0.365,0.18,0.06,0.455,0.237,0.327,0.18,0.436,0.481,0.286,0.233,0.492,0.252,0.286,0.143,0.184,0.289,0.462,0.071,0.797
4128,0.351,0.486,0.378,0.324,0.135,0.297,0.189,0.378,0.514,0.405,0.432,0.162,0.189,0.351,0.432,0.027,0.162,0.351,0.216,0.351,0.649
4129,0.323,0.392,0.266,0.094,0.342,0.3,0.251,0.266,0.449,0.454,0.27,0.275,0.397,0.295,0.27,0.136,0.169,0.337,0.434,0.151,0.769
4130,0.314,0.345,0.254,0.11,0.4,0.233,0.35,0.254,0.417,0.477,0.305,0.218,0.429,0.281,0.305,0.11,0.149,0.321,0.415,0.129,0.779
4131,0.402,0.444,0.241,0.135,0.315,0.29,0.254,0.241,0.456,0.444,0.348,0.207,0.355,0.33,0.348,0.162,0.182,0.35,0.322,0.153,0.704
4132,0.34,0.438,0.27,0.127,0.293,0.281,0.285,0.27,0.434,0.414,0.342,0.244,0.357,0.301,0.342,0.133,0.219,0.344,0.357,0.145,0.74
4133,0.408,0.43,0.141,0.099,0.43,0.282,0.254,0.141,0.465,0.563,0.232,0.204,0.451,0.331,0.232,0.085,0.134,0.338,0.437,0.099,0.817
4134,0.403,0.418,0.224,0.149,0.358,0.328,0.194,0.224,0.478,0.478,0.313,0.209,0.373,0.373,0.313,0.149,0.104,0.388,0.313,0.149,0.701
4135,0.322,0.435,0.224,0.085,0.341,0.293,0.293,0.224,0.413,0.489,0.259,0.252,0.416,0.306,0.259,0.101,0.211,0.338,0.435,0.11,0.814
4136,0.397,0.448,0.309,0.143,0.243,0.29,0.245,0.309,0.465,0.397,0.371,0.232,0.292,0.316,0.371,0.158,0.22,0.365,0.313,0.173,0.699
4137,0.303,0.361,0.219,0.116,0.419,0.245,0.297,0.219,0.458,0.465,0.335,0.2,0.465,0.245,0.335,0.155,0.187,0.271,0.419,0.123,0.729
4138,0.255,0.307,0.248,0.139,0.445,0.292,0.248,0.248,0.46,0.526,0.27,0.204,0.482,0.263,0.27,0.117,0.109,0.299,0.467,0.146,0.745
4139,0.436,0.472,0.264,0.123,0.264,0.307,0.239,0.264,0.454,0.442,0.337,0.221,0.301,0.35,0.337,0.123,0.196,0.399,0.313,0.141,0.755
4140,0.307,0.379,0.295,0.132,0.326,0.29,0.279,0.295,0.431,0.439,0.318,0.243,0.386,0.294,0.318,0.11,0.188,0.332,0.389,0.154,0.758
4141,0.404,0.447,0.246,0.12,0.307,0.273,0.273,0.246,0.455,0.406,0.34,0.254,0.34,0.34,0.34,0.147,0.19,0.358,0.321,0.144,0.733
4142,0.417,0.458,0.2,0.099,0.342,0.226,0.252,0.2,0.521,0.465,0.311,0.224,0.377,0.297,0.311,0.108,0.215,0.328,0.392,0.116,0.792
4143,0.328,0.391,0.274,0.097,0.336,0.313,0.251,0.274,0.435,0.465,0.279,0.256,0.386,0.306,0.279,0.124,0.167,0.363,0.415,0.134,0.779
4144,0.393,0.442,0.241,0.103,0.317,0.298,0.274,0.241,0.428,0.436,0.312,0.252,0.358,0.333,0.312,0.133,0.187,0.36,0.355,0.136,0.764
4145,0.344,0.413,0.23,0.101,0.357,0.28,0.278,0.23,0.442,0.5,0.288,0.212,0.413,0.317,0.288,0.13,0.18,0.336,0.394,0.127,0.77
4146,0.349,0.398,0.23,0.098,0.372,0.24,0.289,0.23,0.47,0.494,0.292,0.214,0.419,0.297,0.292,0.121,0.173,0.32,0.411,0.134,0.78
4147,0.389,0.44,0.244,0.112,0.316,0.303,0.26,0.244,0.438,0.491,0.313,0.196,0.359,0.31,0.313,0.142,0.196,0.346,0.377,0.142,0.746
4148,0.325,0.39,0.23,0.099,0.38,0.285,0.275,0.23,0.44,0.503,0.259,0.238,0.432,0.296,0.259,0.113,0.165,0.332,0.445,0.123,0.788
4149,0.429,0.467,0.243,0.124,0.29,0.266,0.293,0.243,0.44,0.448,0.367,0.185,0.32,0.351,0.367,0.17,0.205,0.375,0.282,0.131,0.707
4150,0.358,0.414,0.154,0.056,0.432,0.278,0.321,0.154,0.401,0.525,0.21,0.265,0.475,0.29,0.21,0.068,0.185,0.315,0.5,0.068,0.877
4151,0.295,0.37,0.194,0.104,0.436,0.231,0.293,0.194,0.476,0.503,0.258,0.239,0.492,0.287,0.258,0.12,0.133,0.301,0.455,0.13,0.777
4152,0.394,0.439,0.197,0.1,0.365,0.3,0.284,0.197,0.416,0.494,0.281,0.226,0.4,0.348,0.281,0.123,0.152,0.368,0.371,0.116,0.777
4153,0.429,0.495,0.201,0.083,0.304,0.294,0.251,0.201,0.455,0.462,0.3,0.238,0.35,0.34,0.3,0.116,0.215,0.36,0.36,0.122,0.802
4154,0.33,0.384,0.229,0.104,0.387,0.275,0.275,0.229,0.45,0.466,0.278,0.256,0.436,0.311,0.278,0.134,0.153,0.33,0.411,0.131,0.763
4155,0.338,0.403,0.276,0.104,0.321,0.316,0.261,0.276,0.423,0.458,0.289,0.254,0.373,0.313,0.289,0.117,0.172,0.361,0.398,0.147,0.779
4156,0.363,0.412,0.249,0.123,0.339,0.293,0.262,0.249,0.446,0.467,0.346,0.186,0.37,0.317,0.346,0.15,0.174,0.346,0.337,0.14,0.726
4157,0.378,0.428,0.25,0.091,0.322,0.303,0.281,0.25,0.416,0.434,0.325,0.241,0.35,0.284,0.325,0.113,0.212,0.35,0.391,0.116,0.797
4158,0.362,0.41,0.273,0.128,0.318,0.265,0.235,0.273,0.5,0.468,0.32,0.212,0.365,0.287,0.32,0.15,0.193,0.34,0.393,0.15,0.723
4159,0.362,0.419,0.338,0.107,0.243,0.365,0.257,0.338,0.378,0.382,0.334,0.284,0.297,0.308,0.334,0.125,0.223,0.401,0.358,0.134,0.768
4160,0.418,0.465,0.271,0.164,0.264,0.341,0.227,0.271,0.431,0.468,0.385,0.147,0.288,0.341,0.385,0.154,0.201,0.365,0.274,0.171,0.682
4161,0.449,0.493,0.203,0.087,0.304,0.319,0.304,0.203,0.377,0.464,0.362,0.174,0.326,0.355,0.362,0.203,0.232,0.377,0.283,0.087,0.71
4162,0.388,0.463,0.263,0.131,0.275,0.325,0.263,0.263,0.412,0.456,0.294,0.25,0.313,0.362,0.294,0.087,0.169,0.4,0.344,0.156,0.781
4163,0.426,0.463,0.266,0.128,0.271,0.293,0.234,0.266,0.473,0.394,0.394,0.213,0.303,0.298,0.394,0.133,0.234,0.346,0.309,0.149,0.739
4164,0.413,0.455,0.258,0.132,0.287,0.268,0.284,0.258,0.448,0.423,0.384,0.194,0.329,0.3,0.384,0.161,0.223,0.332,0.316,0.158,0.706
4165,0.224,0.243,0.414,0.23,0.342,0.145,0.257,0.414,0.599,0.289,0.474,0.237,0.355,0.211,0.474,0.204,0.112,0.224,0.316,0.322,0.566
4166,0.356,0.413,0.246,0.091,0.341,0.239,0.254,0.246,0.508,0.466,0.288,0.246,0.383,0.337,0.288,0.117,0.167,0.36,0.375,0.133,0.792
4167,0.4,0.436,0.255,0.091,0.309,0.309,0.227,0.255,0.464,0.409,0.309,0.282,0.345,0.336,0.309,0.091,0.218,0.336,0.355,0.136,0.818
4168,0.372,0.425,0.28,0.123,0.294,0.298,0.298,0.28,0.404,0.408,0.356,0.237,0.334,0.318,0.356,0.155,0.189,0.366,0.326,0.151,0.722
4169,0.382,0.463,0.254,0.113,0.283,0.325,0.251,0.254,0.424,0.408,0.327,0.265,0.335,0.335,0.327,0.131,0.201,0.377,0.338,0.139,0.756
4170,0.358,0.41,0.373,0.209,0.216,0.299,0.209,0.373,0.493,0.41,0.396,0.194,0.269,0.306,0.396,0.172,0.209,0.358,0.299,0.216,0.619
4171,0.403,0.45,0.288,0.147,0.262,0.34,0.319,0.288,0.34,0.424,0.377,0.199,0.309,0.319,0.377,0.126,0.209,0.366,0.304,0.162,0.728
4172,0.396,0.457,0.196,0.064,0.347,0.317,0.253,0.196,0.43,0.589,0.189,0.223,0.396,0.392,0.189,0.053,0.162,0.415,0.419,0.075,0.883
4173,0.382,0.454,0.267,0.103,0.279,0.298,0.256,0.267,0.446,0.425,0.306,0.269,0.332,0.332,0.306,0.117,0.208,0.368,0.361,0.145,0.78
4174,0.35,0.385,0.249,0.139,0.366,0.29,0.315,0.249,0.394,0.413,0.35,0.237,0.397,0.29,0.35,0.142,0.151,0.328,0.36,0.155,0.719
4175,0.378,0.489,0.166,0.084,0.344,0.226,0.33,0.166,0.444,0.383,0.327,0.29,0.442,0.247,0.327,0.092,0.293,0.262,0.427,0.1,0.824
4176,0.349,0.387,0.206,0.1,0.407,0.287,0.345,0.206,0.369,0.417,0.303,0.281,0.445,0.275,0.303,0.102,0.176,0.305,0.423,0.112,0.798
4177,0.388,0.413,0.189,0.092,0.398,0.311,0.306,0.189,0.383,0.444,0.321,0.235,0.418,0.291,0.321,0.066,0.204,0.306,0.388,0.092,0.842
4178,0.411,0.447,0.265,0.127,0.287,0.284,0.265,0.265,0.451,0.425,0.338,0.236,0.32,0.327,0.338,0.105,0.218,0.353,0.335,0.142,0.767
4179,0.411,0.444,0.265,0.127,0.291,0.284,0.265,0.265,0.451,0.425,0.338,0.236,0.32,0.327,0.338,0.105,0.215,0.353,0.335,0.142,0.767
4180,0.306,0.367,0.276,0.163,0.357,0.245,0.245,0.276,0.51,0.531,0.306,0.163,0.398,0.306,0.306,0.071,0.133,0.337,0.388,0.173,0.765
4181,0.366,0.452,0.224,0.1,0.324,0.219,0.331,0.224,0.45,0.344,0.363,0.293,0.397,0.236,0.363,0.119,0.283,0.256,0.401,0.137,0.781
