ID,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_TN,PCP_SM,PCP_LR
Seq_3469,0.134,0.101,0.765,0.239,0.47,0.391,0.067,0.081,0.101,0.134,0.765,0.506,0.257,0.346,0.117,0.04,0.166,0.455,0.545
Seq_3470,0.118,0.112,0.769,0.201,0.544,0.494,0.038,0.053,0.112,0.118,0.769,0.512,0.18,0.367,0.139,0.03,0.32,0.568,0.432
Seq_3471,0.127,0.114,0.759,0.194,0.521,0.425,0.041,0.096,0.114,0.127,0.759,0.503,0.212,0.35,0.132,0.034,0.288,0.56,0.44
Seq_3472,0.118,0.103,0.779,0.272,0.449,0.397,0.022,0.044,0.103,0.118,0.779,0.515,0.199,0.316,0.118,0.147,0.346,0.603,0.397
Seq_3473,0.103,0.125,0.772,0.272,0.441,0.397,0.022,0.044,0.125,0.103,0.772,0.5,0.184,0.338,0.103,0.14,0.338,0.588,0.412
Seq_3474,0.084,0.113,0.803,0.26,0.472,0.388,0.053,0.103,0.113,0.084,0.803,0.494,0.208,0.379,0.143,0.049,0.241,0.545,0.455
Seq_3475,0.139,0.147,0.714,0.168,0.508,0.416,0.08,0.139,0.147,0.139,0.714,0.517,0.256,0.307,0.084,0.013,0.172,0.445,0.555
Seq_3476,0.154,0.088,0.758,0.227,0.492,0.442,0.038,0.069,0.088,0.154,0.758,0.512,0.231,0.327,0.138,0.027,0.177,0.446,0.554
Seq_3477,0.127,0.087,0.786,0.278,0.484,0.444,0.024,0.048,0.087,0.127,0.786,0.484,0.175,0.397,0.159,0.04,0.31,0.54,0.46
Seq_3478,0.145,0.114,0.741,0.199,0.505,0.431,0.034,0.071,0.114,0.145,0.741,0.488,0.215,0.36,0.121,0.034,0.212,0.492,0.508
Seq_3479,0.127,0.118,0.755,0.193,0.534,0.459,0.073,0.079,0.118,0.127,0.755,0.528,0.227,0.339,0.116,0.045,0.268,0.549,0.451
Seq_3480,0.134,0.118,0.748,0.239,0.476,0.399,0.06,0.099,0.118,0.134,0.748,0.479,0.228,0.377,0.136,0.037,0.248,0.504,0.496
Seq_3481,0.143,0.123,0.734,0.251,0.444,0.384,0.054,0.088,0.123,0.143,0.734,0.446,0.236,0.385,0.13,0.047,0.234,0.518,0.482
Seq_3482,0.129,0.128,0.742,0.178,0.513,0.425,0.063,0.092,0.128,0.129,0.742,0.505,0.244,0.346,0.106,0.03,0.196,0.536,0.464
Seq_3483,0.136,0.128,0.736,0.22,0.487,0.389,0.05,0.092,0.128,0.136,0.736,0.528,0.217,0.347,0.142,0.065,0.231,0.504,0.496
Seq_3484,0.118,0.104,0.779,0.242,0.491,0.413,0.057,0.095,0.104,0.118,0.779,0.508,0.22,0.357,0.144,0.041,0.24,0.532,0.468
Seq_3485,0.118,0.102,0.78,0.238,0.495,0.418,0.057,0.096,0.102,0.118,0.78,0.509,0.222,0.352,0.141,0.041,0.242,0.532,0.468
Seq_3486,0.117,0.102,0.781,0.241,0.493,0.416,0.057,0.096,0.102,0.117,0.781,0.508,0.221,0.354,0.142,0.041,0.24,0.532,0.468
Seq_3487,0.117,0.101,0.782,0.241,0.493,0.417,0.057,0.096,0.101,0.117,0.782,0.508,0.222,0.353,0.142,0.04,0.241,0.532,0.468
Seq_3488,0.118,0.101,0.782,0.243,0.492,0.415,0.057,0.095,0.101,0.118,0.782,0.508,0.222,0.355,0.144,0.04,0.242,0.533,0.467
Seq_3489,0.118,0.102,0.78,0.24,0.493,0.416,0.057,0.095,0.102,0.118,0.78,0.508,0.221,0.354,0.142,0.041,0.241,0.533,0.467
Seq_3490,0.104,0.091,0.805,0.299,0.423,0.349,0.052,0.084,0.091,0.104,0.805,0.489,0.238,0.371,0.197,0.039,0.232,0.527,0.473
Seq_3491,0.159,0.19,0.651,0.179,0.426,0.333,0.026,0.077,0.19,0.159,0.651,0.41,0.231,0.415,0.128,0.026,0.185,0.436,0.564
Seq_3492,0.102,0.103,0.795,0.242,0.521,0.457,0.073,0.093,0.103,0.102,0.795,0.488,0.207,0.386,0.127,0.027,0.27,0.529,0.471
Seq_3493,0.113,0.13,0.757,0.226,0.513,0.423,0.035,0.104,0.13,0.113,0.757,0.51,0.165,0.371,0.116,0.052,0.258,0.481,0.519
Seq_3494,0.132,0.069,0.799,0.284,0.466,0.348,0.069,0.118,0.069,0.132,0.799,0.5,0.25,0.338,0.152,0.074,0.265,0.5,0.5
Seq_3495,0.054,0.14,0.806,0.226,0.523,0.461,0.094,0.065,0.14,0.054,0.806,0.539,0.205,0.402,0.164,0.027,0.243,0.604,0.396
Seq_3496,0.141,0.111,0.748,0.17,0.543,0.493,0.064,0.048,0.111,0.141,0.748,0.53,0.239,0.327,0.102,0.036,0.266,0.541,0.459
Seq_3497,0.187,0.148,0.664,0.237,0.348,0.283,0.041,0.096,0.148,0.187,0.664,0.392,0.308,0.352,0.118,0.053,0.196,0.482,0.518
Seq_3498,0.159,0.131,0.71,0.186,0.493,0.414,0.072,0.076,0.131,0.159,0.71,0.441,0.262,0.393,0.121,0.031,0.234,0.493,0.507
Seq_3499,0.154,0.123,0.722,0.224,0.441,0.364,0.054,0.094,0.123,0.154,0.722,0.471,0.265,0.353,0.144,0.022,0.184,0.469,0.531
Seq_3500,0.139,0.118,0.743,0.251,0.46,0.381,0.062,0.099,0.118,0.139,0.743,0.48,0.233,0.385,0.148,0.039,0.227,0.499,0.501
Seq_3501,0.132,0.11,0.758,0.168,0.555,0.465,0.065,0.081,0.11,0.132,0.758,0.539,0.232,0.335,0.113,0.039,0.261,0.523,0.477
Seq_3502,0.127,0.127,0.746,0.155,0.558,0.461,0.047,0.088,0.127,0.127,0.746,0.536,0.207,0.309,0.088,0.058,0.26,0.533,0.467
Seq_3503,0.106,0.111,0.783,0.177,0.565,0.47,0.062,0.092,0.111,0.106,0.783,0.56,0.209,0.312,0.114,0.052,0.253,0.53,0.47
Seq_3504,0.131,0.131,0.738,0.217,0.479,0.386,0.033,0.098,0.131,0.131,0.738,0.507,0.206,0.341,0.131,0.056,0.227,0.495,0.505
Seq_3505,0.127,0.127,0.746,0.224,0.465,0.39,0.06,0.124,0.127,0.127,0.746,0.459,0.245,0.341,0.106,0.018,0.208,0.511,0.489
Seq_3506,0.107,0.131,0.762,0.169,0.537,0.447,0.1,0.103,0.131,0.107,0.762,0.524,0.263,0.338,0.099,0.025,0.212,0.562,0.438
Seq_3507,0.099,0.09,0.811,0.262,0.486,0.415,0.027,0.084,0.09,0.099,0.811,0.465,0.189,0.407,0.155,0.038,0.329,0.616,0.384
Seq_3508,0.132,0.117,0.751,0.182,0.535,0.468,0.04,0.062,0.117,0.132,0.751,0.53,0.206,0.336,0.109,0.05,0.254,0.522,0.478
Seq_3509,0.138,0.127,0.735,0.239,0.481,0.396,0.112,0.093,0.127,0.138,0.735,0.485,0.265,0.358,0.112,0.075,0.257,0.515,0.485
Seq_3510,0.124,0.172,0.703,0.191,0.488,0.402,0.029,0.086,0.172,0.124,0.703,0.474,0.177,0.407,0.124,0.033,0.206,0.474,0.526
Seq_3511,0.118,0.143,0.739,0.21,0.493,0.401,0.037,0.099,0.143,0.118,0.739,0.46,0.191,0.401,0.118,0.04,0.221,0.485,0.515
Seq_3512,0.126,0.084,0.791,0.228,0.451,0.391,0.023,0.06,0.084,0.126,0.791,0.465,0.26,0.335,0.144,0.065,0.219,0.54,0.46
Seq_3513,0.125,0.108,0.767,0.211,0.523,0.473,0.029,0.054,0.108,0.125,0.767,0.527,0.186,0.358,0.161,0.025,0.262,0.516,0.484
Seq_3514,0.124,0.097,0.779,0.203,0.542,0.471,0.045,0.071,0.097,0.124,0.779,0.553,0.203,0.347,0.132,0.055,0.297,0.571,0.429
Seq_3515,0.146,0.081,0.773,0.196,0.531,0.427,0.069,0.092,0.081,0.146,0.773,0.523,0.262,0.308,0.112,0.046,0.246,0.481,0.519
Seq_3516,0.123,0.11,0.767,0.189,0.502,0.405,0.044,0.079,0.11,0.123,0.767,0.52,0.242,0.317,0.123,0.053,0.172,0.48,0.52
Seq_3517,0.1,0.07,0.83,0.246,0.543,0.463,0.059,0.103,0.07,0.1,0.83,0.537,0.199,0.331,0.111,0.053,0.258,0.513,0.487
Seq_3518,0.14,0.107,0.753,0.202,0.503,0.405,0.042,0.095,0.107,0.14,0.753,0.507,0.23,0.33,0.126,0.042,0.221,0.481,0.519
Seq_3519,0.119,0.101,0.78,0.223,0.523,0.459,0.05,0.066,0.101,0.119,0.78,0.56,0.204,0.342,0.135,0.066,0.286,0.589,0.411
Seq_3520,0.109,0.13,0.761,0.227,0.514,0.426,0.036,0.094,0.13,0.109,0.761,0.498,0.166,0.375,0.112,0.063,0.254,0.486,0.514
Seq_3521,0.142,0.142,0.716,0.216,0.436,0.385,0.023,0.078,0.142,0.142,0.716,0.454,0.229,0.367,0.133,0.018,0.216,0.514,0.486
Seq_3522,0.112,0.157,0.731,0.266,0.415,0.356,0.042,0.068,0.157,0.112,0.731,0.467,0.205,0.4,0.133,0.089,0.293,0.584,0.416
Seq_3523,0.123,0.098,0.779,0.184,0.571,0.509,0.092,0.055,0.098,0.123,0.779,0.577,0.239,0.301,0.086,0.055,0.301,0.571,0.429
Seq_3524,0.136,0.092,0.772,0.193,0.534,0.433,0.063,0.092,0.092,0.136,0.772,0.532,0.243,0.313,0.112,0.041,0.232,0.51,0.49
Seq_3525,0.118,0.125,0.757,0.19,0.511,0.452,0.028,0.062,0.125,0.118,0.757,0.492,0.202,0.383,0.118,0.037,0.262,0.536,0.464
Seq_3526,0.151,0.143,0.706,0.188,0.467,0.358,0.032,0.103,0.143,0.151,0.706,0.448,0.233,0.366,0.111,0.058,0.233,0.462,0.538
Seq_3527,0.136,0.113,0.751,0.241,0.459,0.414,0.058,0.054,0.113,0.136,0.751,0.475,0.245,0.374,0.145,0.043,0.249,0.528,0.472
Seq_3528,0.129,0.142,0.728,0.2,0.481,0.396,0.052,0.102,0.142,0.129,0.728,0.466,0.229,0.377,0.126,0.022,0.196,0.499,0.501
Seq_3529,0.129,0.107,0.764,0.234,0.512,0.462,0.056,0.052,0.107,0.129,0.764,0.522,0.204,0.376,0.137,0.051,0.309,0.566,0.434
Seq_3530,0.133,0.121,0.746,0.195,0.488,0.391,0.04,0.134,0.121,0.133,0.746,0.46,0.235,0.337,0.105,0.025,0.206,0.491,0.509
Seq_3531,0.183,0.143,0.674,0.233,0.405,0.348,0.072,0.062,0.143,0.183,0.674,0.418,0.29,0.381,0.136,0.047,0.23,0.492,0.508
Seq_3532,0.174,0.164,0.662,0.123,0.492,0.375,0.041,0.139,0.164,0.174,0.662,0.454,0.262,0.322,0.076,0.016,0.174,0.391,0.609
Seq_3533,0.169,0.198,0.632,0.116,0.508,0.426,0.054,0.095,0.198,0.169,0.632,0.463,0.231,0.343,0.058,0.029,0.161,0.413,0.587
Seq_3534,0.127,0.113,0.761,0.164,0.559,0.512,0.028,0.052,0.113,0.127,0.761,0.493,0.192,0.338,0.085,0.023,0.282,0.474,0.526
Seq_3535,0.138,0.138,0.725,0.175,0.488,0.425,0.05,0.094,0.138,0.138,0.725,0.45,0.25,0.356,0.119,0.012,0.231,0.519,0.481
Seq_3536,0.138,0.144,0.719,0.181,0.481,0.419,0.05,0.094,0.144,0.138,0.719,0.45,0.244,0.369,0.125,0.012,0.225,0.519,0.481
Seq_3537,0.164,0.157,0.679,0.164,0.491,0.447,0.038,0.088,0.157,0.164,0.679,0.421,0.226,0.371,0.107,0.006,0.245,0.453,0.547
Seq_3538,0.119,0.139,0.742,0.205,0.517,0.464,0.026,0.073,0.139,0.119,0.742,0.47,0.166,0.437,0.159,0.007,0.298,0.576,0.424
Seq_3539,0.155,0.155,0.69,0.141,0.479,0.399,0.038,0.122,0.155,0.155,0.69,0.437,0.263,0.296,0.047,0.028,0.183,0.427,0.573
Seq_3540,0.148,0.157,0.695,0.193,0.471,0.429,0.028,0.067,0.157,0.148,0.695,0.476,0.207,0.359,0.12,0.014,0.174,0.44,0.56
Seq_3541,0.13,0.136,0.734,0.167,0.5,0.444,0.034,0.085,0.136,0.13,0.734,0.444,0.232,0.345,0.088,0.023,0.251,0.517,0.483
Seq_3542,0.155,0.16,0.685,0.235,0.435,0.368,0.06,0.065,0.16,0.155,0.685,0.47,0.23,0.4,0.142,0.048,0.252,0.495,0.505
Seq_3543,0.15,0.14,0.71,0.178,0.5,0.435,0.075,0.079,0.14,0.15,0.71,0.477,0.257,0.355,0.098,0.023,0.243,0.477,0.523
Seq_3544,0.134,0.106,0.761,0.213,0.498,0.408,0.061,0.104,0.106,0.134,0.761,0.47,0.244,0.348,0.116,0.046,0.257,0.498,0.502
Seq_3545,0.178,0.16,0.663,0.15,0.469,0.393,0.04,0.101,0.16,0.178,0.663,0.454,0.261,0.313,0.08,0.031,0.163,0.429,0.571
Seq_3546,0.153,0.147,0.699,0.186,0.463,0.389,0.032,0.08,0.147,0.153,0.699,0.445,0.236,0.381,0.094,0.029,0.189,0.442,0.558
Seq_3547,0.092,0.109,0.799,0.3,0.458,0.385,0.051,0.103,0.109,0.092,0.799,0.495,0.184,0.418,0.197,0.032,0.27,0.578,0.422
Seq_3548,0.169,0.152,0.679,0.212,0.445,0.381,0.056,0.074,0.152,0.169,0.679,0.44,0.247,0.393,0.124,0.034,0.225,0.481,0.519
Seq_3549,0.108,0.101,0.791,0.189,0.564,0.499,0.062,0.095,0.101,0.108,0.791,0.531,0.207,0.332,0.115,0.017,0.283,0.576,0.424
Seq_3550,0.092,0.1,0.808,0.217,0.542,0.425,0.025,0.158,0.1,0.092,0.808,0.458,0.167,0.367,0.133,0.025,0.283,0.525,0.475
Seq_3551,0.125,0.113,0.762,0.205,0.528,0.43,0.057,0.1,0.113,0.125,0.762,0.523,0.211,0.336,0.1,0.048,0.211,0.454,0.546
Seq_3552,0.181,0.15,0.669,0.194,0.444,0.406,0.044,0.094,0.15,0.181,0.669,0.425,0.256,0.362,0.119,0.012,0.219,0.462,0.538
Seq_3553,0.115,0.097,0.788,0.236,0.527,0.461,0.048,0.055,0.097,0.115,0.788,0.479,0.188,0.424,0.145,0.03,0.248,0.515,0.485
Seq_3554,0.123,0.102,0.775,0.184,0.56,0.481,0.054,0.079,0.102,0.123,0.775,0.537,0.207,0.34,0.12,0.036,0.266,0.555,0.445
Seq_3555,0.109,0.109,0.782,0.241,0.514,0.468,0.086,0.091,0.109,0.109,0.782,0.514,0.223,0.386,0.114,0.032,0.245,0.545,0.455
Seq_3556,0.149,0.108,0.743,0.252,0.453,0.376,0.079,0.089,0.108,0.149,0.743,0.487,0.266,0.361,0.105,0.077,0.248,0.539,0.461
Seq_3557,0.135,0.078,0.787,0.166,0.583,0.508,0.078,0.082,0.078,0.135,0.787,0.533,0.251,0.323,0.094,0.019,0.266,0.53,0.47
Seq_3558,0.108,0.065,0.827,0.367,0.446,0.353,0.036,0.144,0.065,0.108,0.827,0.46,0.158,0.424,0.216,0.05,0.317,0.547,0.453
Seq_3559,0.048,0.057,0.894,0.3,0.515,0.458,0.066,0.115,0.057,0.048,0.894,0.537,0.194,0.366,0.194,0.022,0.291,0.692,0.308
Seq_3560,0.147,0.086,0.767,0.195,0.553,0.457,0.042,0.109,0.086,0.147,0.767,0.559,0.208,0.278,0.115,0.048,0.236,0.482,0.518
Seq_3561,0.114,0.143,0.743,0.179,0.529,0.457,0.043,0.114,0.143,0.114,0.743,0.496,0.193,0.361,0.1,0.007,0.243,0.539,0.461
Seq_3562,0.132,0.103,0.764,0.214,0.502,0.445,0.079,0.048,0.103,0.132,0.764,0.531,0.26,0.341,0.166,0.036,0.243,0.555,0.445
Seq_3563,0.115,0.118,0.767,0.179,0.563,0.514,0.036,0.038,0.118,0.115,0.767,0.514,0.176,0.391,0.105,0.033,0.309,0.555,0.445
Seq_3564,0.161,0.147,0.693,0.161,0.507,0.418,0.053,0.114,0.147,0.161,0.693,0.515,0.238,0.316,0.1,0.025,0.224,0.485,0.515
Seq_3565,0.101,0.104,0.796,0.198,0.588,0.543,0.055,0.07,0.104,0.101,0.796,0.564,0.165,0.378,0.137,0.009,0.314,0.625,0.375
Seq_3566,0.1,0.074,0.826,0.311,0.456,0.389,0.044,0.063,0.074,0.1,0.826,0.556,0.204,0.374,0.211,0.059,0.241,0.559,0.441
Seq_3567,0.13,0.134,0.736,0.18,0.518,0.43,0.081,0.113,0.134,0.13,0.736,0.479,0.25,0.345,0.092,0.042,0.292,0.585,0.415
Seq_3568,0.201,0.173,0.626,0.213,0.366,0.323,0.016,0.024,0.173,0.201,0.626,0.406,0.264,0.386,0.114,0.043,0.169,0.37,0.63
Seq_3569,0.137,0.142,0.722,0.175,0.515,0.428,0.046,0.088,0.142,0.137,0.722,0.505,0.214,0.356,0.103,0.044,0.242,0.513,0.487
Seq_3570,0.15,0.157,0.694,0.157,0.507,0.416,0.047,0.096,0.157,0.15,0.694,0.477,0.227,0.343,0.079,0.042,0.171,0.421,0.579
Seq_3571,0.138,0.128,0.735,0.152,0.561,0.487,0.03,0.07,0.128,0.138,0.735,0.528,0.19,0.332,0.1,0.032,0.246,0.484,0.516
Seq_3572,0.138,0.151,0.711,0.218,0.449,0.373,0.032,0.105,0.151,0.138,0.711,0.456,0.213,0.377,0.125,0.029,0.212,0.489,0.511
Seq_3573,0.146,0.142,0.712,0.181,0.431,0.358,0.014,0.076,0.142,0.146,0.712,0.441,0.26,0.319,0.104,0.052,0.181,0.455,0.545
Seq_3574,0.122,0.094,0.784,0.171,0.554,0.484,0.045,0.059,0.094,0.122,0.784,0.519,0.226,0.321,0.098,0.052,0.226,0.523,0.477
Seq_3575,0.165,0.194,0.64,0.108,0.518,0.432,0.014,0.094,0.194,0.165,0.64,0.489,0.194,0.324,0.036,0.043,0.23,0.453,0.547
Seq_3576,0.162,0.179,0.658,0.188,0.436,0.368,0.009,0.051,0.179,0.162,0.658,0.47,0.205,0.333,0.103,0.085,0.239,0.453,0.547
Seq_3577,0.108,0.139,0.753,0.196,0.521,0.423,0.067,0.088,0.139,0.108,0.753,0.546,0.211,0.325,0.113,0.046,0.222,0.526,0.474
Seq_3578,0.141,0.166,0.693,0.179,0.455,0.385,0.044,0.078,0.166,0.141,0.693,0.432,0.244,0.375,0.099,0.034,0.189,0.461,0.539
Seq_3579,0.186,0.127,0.686,0.206,0.431,0.319,0.02,0.152,0.127,0.186,0.686,0.441,0.255,0.294,0.093,0.039,0.142,0.343,0.657
Seq_3580,0.121,0.113,0.766,0.234,0.472,0.415,0.048,0.077,0.113,0.121,0.766,0.496,0.23,0.371,0.145,0.032,0.254,0.577,0.423
Seq_3581,0.113,0.189,0.698,0.264,0.406,0.368,0.057,0.038,0.189,0.113,0.698,0.491,0.198,0.406,0.113,0.075,0.217,0.462,0.538
Seq_3582,0.118,0.09,0.791,0.201,0.565,0.492,0.048,0.07,0.09,0.118,0.791,0.533,0.191,0.349,0.113,0.045,0.294,0.528,0.472
Seq_3583,0.125,0.145,0.729,0.134,0.567,0.484,0.031,0.066,0.145,0.125,0.729,0.521,0.185,0.35,0.097,0.048,0.242,0.504,0.496
Seq_3584,0.079,0.095,0.826,0.133,0.674,0.586,0.034,0.063,0.095,0.079,0.826,0.643,0.133,0.297,0.09,0.041,0.265,0.486,0.514
Seq_3585,0.142,0.13,0.728,0.195,0.506,0.393,0.051,0.116,0.13,0.142,0.728,0.501,0.219,0.345,0.096,0.06,0.217,0.46,0.54
Seq_3586,0.188,0.159,0.653,0.153,0.455,0.347,0.057,0.136,0.159,0.188,0.653,0.449,0.29,0.301,0.08,0.04,0.136,0.426,0.574
Seq_3587,0.121,0.101,0.778,0.187,0.54,0.444,0.04,0.091,0.101,0.121,0.778,0.551,0.212,0.303,0.086,0.051,0.253,0.525,0.475
Seq_3588,0.134,0.122,0.744,0.15,0.568,0.514,0.047,0.048,0.122,0.134,0.744,0.546,0.206,0.329,0.101,0.021,0.28,0.523,0.477
Seq_3589,0.126,0.15,0.723,0.17,0.516,0.438,0.064,0.064,0.15,0.126,0.723,0.505,0.227,0.375,0.117,0.044,0.245,0.566,0.434
Seq_3590,0.098,0.105,0.797,0.17,0.613,0.544,0.049,0.069,0.105,0.098,0.797,0.567,0.161,0.351,0.102,0.03,0.348,0.593,0.407
Seq_3591,0.078,0.043,0.878,0.165,0.67,0.565,0.052,0.1,0.043,0.078,0.878,0.639,0.174,0.261,0.104,0.048,0.287,0.539,0.461
Seq_3592,0.126,0.124,0.751,0.219,0.519,0.47,0.029,0.038,0.124,0.126,0.751,0.448,0.168,0.437,0.124,0.024,0.313,0.508,0.492
Seq_3593,0.14,0.155,0.705,0.135,0.551,0.459,0.058,0.087,0.155,0.14,0.705,0.498,0.217,0.343,0.043,0.043,0.242,0.488,0.512
Seq_3594,0.122,0.18,0.698,0.135,0.51,0.445,0.037,0.073,0.18,0.122,0.698,0.49,0.212,0.335,0.086,0.02,0.184,0.461,0.539
Seq_3595,0.129,0.101,0.77,0.191,0.547,0.478,0.04,0.043,0.101,0.129,0.77,0.54,0.201,0.356,0.147,0.05,0.295,0.579,0.421
Seq_3596,0.131,0.17,0.699,0.186,0.487,0.424,0.046,0.091,0.17,0.131,0.699,0.513,0.202,0.362,0.113,0.018,0.251,0.523,0.477
Seq_3597,0.147,0.139,0.714,0.215,0.474,0.401,0.035,0.109,0.139,0.147,0.714,0.463,0.207,0.341,0.074,0.041,0.204,0.425,0.575
Seq_3598,0.143,0.125,0.733,0.208,0.479,0.425,0.069,0.071,0.125,0.143,0.733,0.443,0.257,0.376,0.121,0.031,0.249,0.525,0.475
Seq_3599,0.177,0.129,0.694,0.28,0.377,0.307,0.048,0.066,0.129,0.177,0.694,0.439,0.262,0.378,0.146,0.083,0.256,0.495,0.505
Seq_3600,0.116,0.135,0.748,0.154,0.558,0.444,0.04,0.088,0.135,0.116,0.748,0.527,0.192,0.359,0.097,0.048,0.285,0.556,0.444
Seq_3601,0.172,0.127,0.701,0.196,0.431,0.328,0.029,0.137,0.127,0.172,0.701,0.466,0.275,0.279,0.118,0.039,0.137,0.368,0.632
Seq_3602,0.133,0.12,0.748,0.261,0.437,0.346,0.053,0.091,0.12,0.133,0.748,0.476,0.236,0.361,0.154,0.068,0.239,0.497,0.503
Seq_3603,0.169,0.124,0.706,0.164,0.48,0.407,0.028,0.09,0.124,0.169,0.706,0.469,0.26,0.299,0.085,0.028,0.158,0.367,0.633
Seq_3604,0.125,0.109,0.766,0.275,0.443,0.372,0.067,0.09,0.109,0.125,0.766,0.469,0.241,0.385,0.158,0.044,0.228,0.518,0.482
Seq_3605,0.106,0.103,0.791,0.238,0.497,0.406,0.059,0.115,0.103,0.106,0.791,0.5,0.221,0.335,0.124,0.068,0.318,0.603,0.397
Seq_3606,0.17,0.112,0.718,0.237,0.452,0.394,0.046,0.066,0.112,0.17,0.718,0.477,0.245,0.353,0.124,0.037,0.212,0.444,0.556
Seq_3607,0.119,0.124,0.757,0.188,0.538,0.484,0.063,0.071,0.124,0.119,0.757,0.498,0.213,0.365,0.105,0.024,0.284,0.534,0.466
Seq_3608,0.181,0.172,0.647,0.072,0.525,0.466,0.018,0.036,0.172,0.181,0.647,0.507,0.249,0.294,0.054,0.041,0.186,0.475,0.525
Seq_3609,0.119,0.098,0.784,0.218,0.533,0.44,0.022,0.07,0.098,0.119,0.784,0.531,0.174,0.356,0.148,0.048,0.244,0.481,0.519
Seq_3610,0.116,0.13,0.754,0.171,0.563,0.5,0.075,0.058,0.13,0.116,0.754,0.572,0.21,0.336,0.111,0.034,0.258,0.534,0.466
Seq_3611,0.109,0.139,0.751,0.222,0.456,0.361,0.027,0.118,0.139,0.109,0.751,0.473,0.21,0.346,0.121,0.05,0.18,0.473,0.527
Seq_3612,0.14,0.123,0.736,0.236,0.418,0.329,0.027,0.137,0.123,0.14,0.736,0.397,0.25,0.366,0.116,0.041,0.209,0.486,0.514
Seq_3613,0.115,0.104,0.781,0.151,0.59,0.5,0.065,0.076,0.104,0.115,0.781,0.547,0.219,0.331,0.101,0.032,0.27,0.529,0.471
Seq_3614,0.138,0.129,0.732,0.138,0.575,0.529,0.037,0.077,0.129,0.138,0.732,0.492,0.194,0.351,0.086,0.012,0.246,0.471,0.529
Seq_3615,0.131,0.12,0.749,0.165,0.532,0.457,0.034,0.082,0.12,0.131,0.749,0.517,0.217,0.341,0.105,0.026,0.247,0.547,0.453
Seq_3616,0.215,0.108,0.677,0.329,0.323,0.266,0.044,0.101,0.108,0.215,0.677,0.443,0.285,0.31,0.095,0.108,0.171,0.373,0.627
Seq_3617,0.078,0.115,0.807,0.226,0.533,0.419,0.074,0.122,0.115,0.078,0.807,0.5,0.2,0.415,0.144,0.03,0.267,0.596,0.404
Seq_3618,0.132,0.136,0.732,0.164,0.551,0.495,0.028,0.066,0.136,0.132,0.732,0.554,0.178,0.314,0.091,0.038,0.279,0.516,0.484
Seq_3619,0.134,0.108,0.757,0.25,0.458,0.389,0.052,0.066,0.108,0.134,0.757,0.491,0.236,0.366,0.16,0.045,0.219,0.474,0.526
Seq_3620,0.149,0.111,0.74,0.162,0.557,0.497,0.128,0.078,0.111,0.149,0.74,0.554,0.297,0.267,0.091,0.037,0.341,0.588,0.412
Seq_3621,0.143,0.133,0.724,0.128,0.526,0.464,0.066,0.046,0.133,0.143,0.724,0.444,0.281,0.352,0.082,0.041,0.265,0.551,0.449
Seq_3622,0.127,0.116,0.757,0.173,0.542,0.45,0.059,0.1,0.116,0.127,0.757,0.469,0.229,0.372,0.097,0.022,0.243,0.523,0.477
Seq_3623,0.138,0.11,0.752,0.165,0.564,0.482,0.05,0.064,0.11,0.138,0.752,0.541,0.211,0.307,0.083,0.05,0.28,0.532,0.468
Seq_3624,0.146,0.113,0.742,0.212,0.51,0.424,0.033,0.066,0.113,0.146,0.742,0.523,0.199,0.377,0.159,0.053,0.291,0.596,0.404
Seq_3625,0.173,0.117,0.71,0.262,0.401,0.333,0.068,0.071,0.117,0.173,0.71,0.454,0.287,0.355,0.17,0.065,0.228,0.512,0.488
Seq_3626,0.126,0.072,0.802,0.257,0.482,0.369,0.054,0.135,0.072,0.126,0.802,0.505,0.243,0.342,0.135,0.045,0.225,0.55,0.45
Seq_3627,0.136,0.125,0.739,0.193,0.515,0.383,0.061,0.098,0.125,0.136,0.739,0.504,0.227,0.326,0.11,0.087,0.242,0.473,0.527
Seq_3628,0.088,0.097,0.815,0.276,0.478,0.414,0.025,0.072,0.097,0.088,0.815,0.492,0.174,0.448,0.213,0.036,0.326,0.657,0.343
Seq_3629,0.064,0.056,0.88,0.303,0.538,0.474,0.047,0.085,0.056,0.064,0.88,0.487,0.15,0.402,0.175,0.068,0.457,0.675,0.325
Seq_3630,0.118,0.101,0.781,0.209,0.505,0.382,0.05,0.135,0.101,0.118,0.781,0.505,0.234,0.339,0.126,0.038,0.216,0.488,0.512
Seq_3631,0.13,0.097,0.773,0.241,0.502,0.445,0.067,0.064,0.097,0.13,0.773,0.575,0.227,0.321,0.144,0.037,0.191,0.465,0.535
Seq_3632,0.145,0.132,0.723,0.196,0.478,0.395,0.054,0.105,0.132,0.145,0.723,0.485,0.248,0.338,0.105,0.039,0.233,0.517,0.483
Seq_3633,0.141,0.109,0.75,0.22,0.514,0.459,0.062,0.073,0.109,0.141,0.75,0.495,0.22,0.378,0.136,0.027,0.283,0.546,0.454
Seq_3634,0.122,0.102,0.776,0.243,0.488,0.399,0.046,0.104,0.102,0.122,0.776,0.483,0.213,0.357,0.142,0.037,0.237,0.489,0.511
Seq_3635,0.166,0.132,0.702,0.238,0.389,0.351,0.043,0.077,0.132,0.166,0.702,0.406,0.283,0.362,0.138,0.015,0.177,0.491,0.509
